nome;tipo;marca;categoria;cor;modelo
Samsung UN40C6900 LED Plana 40 Polegadas;TV;Samsung;EletrÙnicos;None;None
Sapateira Limeira Alta 30 Pares Tabaco - Politorno;Armario;Politorno;Casa e DecoraÁ„o;None;None
Faqueiro Tramontina Inox Laguna 66906760 20;Faqueiro;Tramontina;Casa e DecoraÁ„o;Inox;None
Cartucho de tinta HP 72 C9371A 130 Mls Ciano;Cartucho;HP;None;None;None
Bolsa Pure Evo Medium Grip branco e preto - Puma;Bolsa;Puma;Moda e AcessÛrios;None;None
Docking Station 8W Branca 110/220V - Maxprint;Docking Station;Maxprint;EletrÙnicos;None;None
Bandeirante Ecojipe;Mini VeÌculo;Bandeirante;Brinquedos;None;None
C‚mera Digital Samsung ST95 16.2 Megapixels;C‚mera Digital;Samsung;EletrÙnicos;Preto;42lw4500
Ducha Manual LorenForma C/ Desviador - Lorenzetti;Chuveiro;Lorenzetti;None;None;None
Espagueteira de AlumÌnio Cozivapor Antiaderente com Tampa de Vidro Temperado - MTA;Espagueteira;MTA;None;None;None
Americanflex Postural Queen;Colch„o;Americanflex;Casa e DecoraÁ„o;None;None
Philips SA2VBE16K 16GB;MP Player;Philips;EletrÙnicos;None;None
Mondial C-06 ElÈtrica;Cafeteira;Mondial;EletrodomÈsticos;None;c-06
M·quina Profissional de Corte Alpha CLPR - Wahl Clipper;M·quina de cortar cabelo;WAHL;CosmÈticos e Perfumaria;None;None
Caneta Esferogr·fica Vermelha 1,0mm 1 unid - Pentel;Caneta;Pentel;None;None;None
Guitarra LP Nashville NAS305, 2 Sunburst - Shelter Classic;Guitarra;Shelter;None;None;None
Grill Cotherm 1301;Churrasqueira;Cotherm;Esporte e Lazer;Preto;None
Adesivo p/ Motorola U9 - Gueixa - por Filur - Iskin;Adesivo;iSkin;None;None;None
Ventilador/Exaustor Axial Industrial Bivolt 500mm Grafite - Tron;Grafite;Tron;None;Grafite;None
Rochedo Elegance Glass Inox 5;Conjunto de Panelas;Rochedo;Casa e DecoraÁ„o;Inox;None
Electrolux FE26 Vertical Branco;Freezer;Electrolux;EletrodomÈsticos;None;fe26
Burigotto AT6 BerÁo;Carrinho de BebÍ;Burigotto;Brinquedos;None;None
Relogio Masculino com Calendario 1559253M - Backer;RelÛgio;Backer;Moda e AcessÛrios;None;None
Smart Trike Reclinavel Vermelho;Carrinho de BebÍ;Dican;BebÍs e Cia;Vermelho;None
Pincel Polimento e para Po Facial Klass Vough Brown 2;Pincel;Klass Vough;CosmÈticos e Perfumaria;None;None
Adaptador Wireless USB Lite-N 150M: bot„o WPS - TL-WN721N-TP-LINKTL;Adaptador;TP-LINK;EletrÙnicos;None;tl-wn721n
Wap wind system 60hz ventilador azul 220v wap;Ventilador;Wap;EletrodomÈsticos;Azul;None
Brastemp Clean BF050B Piso 4 Bocas Branco;Fog„o;Brastemp;EletrodomÈsticos;None;56tbe
Aspirador de PÛ Ambiance 1400w, Filtro Permanente, Bico M˙ltiplo e de Canto, Preto 220v - Wap;Aspirador de PÛ;Wap;EletrodomÈsticos;None;None
Aparelho de Jantar Balles 20 PeÁas 27cm - Casaambiente;Aparelho de Jantar;Casa Ambiente;Casa e DecoraÁ„o;None;None
Celular Apple iPhone 4 - 8GB - Branco - Tim - Apple;Celular;Apple;Telefonia;Branco;None
Carros 2 - Lightning McQueen Tanque Cheio - Mattel;Tanque;Mattel;Brinquedos;None;None
Cama Pet White Flower M - FerPet;Cama;FerPet;Casa e DecoraÁ„o;None;None
Perfume Reverence Marina de Bourbon Eau de Parfum Feminino 100 ml;Perfume;Marina de Bourbon;CosmÈticos e Perfumaria;None;None
Caloi Terra 26;Bicicleta;Caloi;Esporte e Lazer;Vermelho;None
Leave-in Niasi Hidratante Solution Dry Hair #200ml;Hidratante;Niasi;CosmÈticos e Perfumaria;None;None
Sabonete Actine com 2 80g;Sabonete;Actine;CosmÈticos e Perfumaria;None;None
Secador ion 220v ass 1432 3800 c/ion prata parlux;Secador;Parlux;EletrodomÈsticos;Prata;None
Cart„o de MemÛria MS Pro Duo 1GB - Feel Eletronics;Cart„o de MemÛria;Feel Eletronics;Inform·tica;None;None
Copo Capit„o AmÈrica c/ Tampa e V·lvula Redutora - 340ml - Dermiwil;Copo;Dermiwil;None;None;None
Torneira para LavatÛrio de Mesa Swan - 1194 C42 - Lorenzetti;Torneira;Lorenzetti;ConstruÁ„o e Ferramentas;None;None
Jogo de Cama Casal Kacyumara Vida Bela Modena - 200 Fios, Percal, 100% Algod„o;Jogo de LenÁol;Kacyumara;Casa e DecoraÁ„o;None;None
Forno ElÈtrico Brit‚nia Prime em AÁo Escovado - 30L;Forno;Brit‚nia;EletrodomÈsticos;None;lte08
Suporte para Escova de Banheiro Branco 3434/101 - Brinox;Suporte;Brinox;ConstruÁ„o e Ferramentas;None;None
Mochila de Costas Juvenil Hangten - Luxcel;Mochila;Luxcel;Moda e AcessÛrios;None;None
Faqueiro Tramontina Inox Athenas 66940020 101;Faqueiro;Tramontina;Casa e DecoraÁ„o;Inox;un40d5000
Headphone Lyco LCPRO200;Fone de Ouvido;Lyco;None;None;None
Colcha Home Design Aquarela Lil·s Solteiro 200 Fios Percal - Corttex Casa;Colcha;Corttex;Casa e DecoraÁ„o;None;None
Cobre Leito Solteiro Vida Bela FlorenÁa Percal 200 Fios - Kacyumara;Cobre Leito;Kacyumara;Casa e DecoraÁ„o;None;None
Jogo de Toalhas 5 peÁas Lollipop - Buddemeyer;Game;Buddemeyer;Casa e DecoraÁ„o;Branco;None
Celular LG Preto GSM Desbloqueado Claro c/ C‚mera Integrada, MP3 Player, R·dio FM e Fone;Celular;LG;Telefonia;None;None
Fonte PotÍncia Real p/ Computador 380W Vers„o 2.2 - Extream;Computador;Extream;Inform·tica;None;None
RelÛgio Masculino AnalÛgico X-Games XGSCM002 - Orient;RelÛgio;Orient;Moda e AcessÛrios;None;None
Purificador e Ozonizador de ¡gua Aruj· - Ricozon;Purificador de ·gua;Ricozon;EletrodomÈsticos;None;None
CD/MP3 Player Automotivo 4x50W RMS c/ USB Frontal e Entrada Auxiliar - LAC5910 - LG;Aparelho de Som;LG;EletrÙnicos;None;lac5910
Jogo De Cama Queen Village Caqui/Chocolate 4 pÁs - Percal 230 fios Scavone;Jogo de LenÁol;Scavone;Casa e DecoraÁ„o;None;None
Ar Condicionado 18000Btus MSS-18CR Estilo Unidade Interna Frio 220v - Midea;Ar-Condicionado;Midea;EletrodomÈsticos;None;None
Almofada Chenille , Liso Marrom - Casa Bela;Almofada;Casa Bela;Casa e DecoraÁ„o;None;None
"Monitor LED S19A300B 18,5"" Wide High Glossy Black - Samsung";Monitor;Samsung;Inform·tica;None;None
Dako Mesa Total Supreme FGDK004PSUDD0AR Piso 4 Bocas Bege;Fog„o;Dako;EletrodomÈsticos;None;fgdk004
Fructis Creme para Pentear Longos e Fortes 300ml - Garnier;Creme de Tratamento;Garnier;CosmÈticos e Perfumaria;None;None
RelÛgio Masculino X-Games XMSSM001 - Orient;RelÛgio;Orient;Moda e AcessÛrios;None;None
Cartucho de Tinta, Amarelo, T103420 - Epson;Cartucho;Epson;Inform·tica;None;t103420
Jogo de Assadeiras Retangular Alta - Fortlar;Travessa;FortLar;Casa e DecoraÁ„o;None;None
Boneca Stephany Teen Princess - Baby Brink;Boneca;Baby Brink;BebÍs e Cia;None;None
Jogo de Panelas Inox 4pÁs - Euro Home;Conjunto de Panelas;Euro Home;Casa e DecoraÁ„o;Inox;None
Bolsa Tamrac Aero 92 Preta/Cinza;Bolsa;Tamrac;Moda e AcessÛrios;None;None
Faber-Castell EcoL·pis Aquarel·vel 48 Cores;Lapis de Cor;Faber-Castell;Papelaria e EscritÛrio;None;None
Suporte sa300v22 black airon wall;Suporte;Airon;ConstruÁ„o e Ferramentas;Preto;sa300v22
Ionizador / Purificador de Ar (Purifica o Ar Tirando os Odores) DNI 6928 - Key West;Purificador de Ar;Key West;EletrodomÈsticos;None;None
Doctor Cooler Cervejas 24 Latas;Cooler;Doctor Cooler;Casa e DecoraÁ„o;None;None
Suggar LiqPlus LQ2220IX 1,5 Litros;Liquidificador;Suggar;EletrodomÈsticos;None;None
Sabonete lÌquido 250ml total- Lifebuoy;Sabonete;Lifebuoy;CosmÈticos e Perfumaria;None;None
Procalc PC986 Port·til;Calculadora;Procalc;EletrÙnicos;None;None
Ovo de P·scoa Spiderman N∫ 20 - 250g - Lacta;Ovo de P·scoa;Lacta;Alimentos e Bebidas;None;None
Celular Beat Mix C3300 Princesas - Samsung;Celular;Samsung;Telefonia;None;None
Colch„o Solteiro Gazin Ilha Bela de Espuma D28 Bege;Colch„o;Gazin;Casa e DecoraÁ„o;Bege;d28
Cafeteira ElÈtrica Gran Cafe CAF-130 - Cadence;Cafeteira;Cadence;EletrodomÈsticos;None;None
Midea MPT10-10CR Port·til 10000 BTUs Quente/Frio;Ar-Condicionado;Midea;EletrodomÈsticos;None;mpt10-10cr
Colch„o Baby Ortobom Anti-Refluxo Espuma D18 anti-·caro, anti-fungo e anti-alÈrgico 0,70 x 1,30;Colch„o;Ortobom;Casa e DecoraÁ„o;None;d18
Forno Duo G·s/ElÈtr. Gourmet c/ Grill 60cm Inox 220V - Falmec;Forno;Smeg;EletrodomÈsticos;None;None
Panela de Press„o em AlumÌnio 6,0 L ValÍncia Verde - Tramontina;Panela de Press„o;Tramontina;Casa e DecoraÁ„o;Verde;None
Cafeteira expresso/cappuccino 220v preto-zeex;M·quina de CafÈ Expresso;Zeex;EletrodomÈsticos;None;None
Mini Moto Red Nose - Amarela - Mymoto;Mini Moto;Red Nose;Brinquedos;None;None
Agenda Athenas Semanal Grande Vermelho 2012 - Teca;Agenda;Teca;None;None;None
Chuveiro Corona Turboduchass SPA;Chuveiro;Corona;Casa e DecoraÁ„o;None;None
T·bua de Passar Sofia Azul e Verde - Mor;T·bua de Passar;Mor;Casa e DecoraÁ„o;None;None
Jogo de Malas Black Ball - Batiki;Game;Batiki;None;Preto;None
Arm·rio AÈreo Selene c/ 1 Porta - Branco c/ Teca - BRV;Armario;BRV;Casa e DecoraÁ„o;None;None
Lava LouÁas 8 ServiÁos BLF08 Ative 220V - Brastemp;Lava Louca;Brastemp;EletrodomÈsticos;None;cwl75
Colcha Infantil Bakugan - Lepper;Colcha;Lepper;Casa e DecoraÁ„o;None;None
Artely 160;Computador;Artely;Inform·tica;None;None
Ovo de P·scoa Especialidades N∫23 / 750g - NestlÈ;Ovo de P·scoa;NESTLE;Alimentos e Bebidas;None;None
Creme tratamento Overnight Reconstruction 150ml - Keratinology;Creme de Tratamento;Keratinology;None;None;None
Celular KP570 Cookie -  GSM - Desbloqueado TIM - LG;Celular;LG;Telefonia;None;kp570
Pacific Alice Butterfly Tradicional;Estojo;Pacific;Papelaria e EscritÛrio;None;None
Mouse Razer Mamba - Razer;Mouse;Razer;Inform·tica;None;None
Guepardo Centauri 1,5;Mochila;Guepardo;Moda e AcessÛrios;None;None
Colchonete Pet Arpoador Preto/Branco PP - FerPet;Colchonete;FerPet;Esporte e Lazer;None;None
Roup„o Adulto com Ziper Lil·s Practice II em Velour Tamanho G - Dohler;Roup„o;Dohler;Moda e AcessÛrios;None;None
Fallout 3 Game of The Year Edition PC - Bethesda Softworks;Game;Bethesda;Games;None;None
Esteira ErgomÈtrica Kikos com Painel LCD, Motor 2,0HP, MonitoraÁ„o CardÌaca por Hand Grip, 4 Programas de ExercÌcios, 110V  - E1501i;Esteira EletrÙnica;Kikos;Esporte e Lazer;None;None
Telefone sem Fio FOX1000S 1.9 Ghz c/ Identificador de Chamadas - Motorola;Telefone;Motorola;Telefonia;None;lb12q
Relogio Analogo S.SERINA RS - Storm;RelÛgio;Storm;Moda e AcessÛrios;None;None
Cortador de Grama ElÈtrico Bivolt 2500 Watts 3600 RPM Profissional RM-80E - Trapp;Cortador de Grama;Trapp;ConstruÁ„o e Ferramentas;None;rm-80e
Pen Drive USB Flash Drive HP v165w 4GB;Pendrive;HP;Inform·tica;None;None
Sensor de estacionamento gt sr-100 preto gt sound;Sensor de Estacionamento;GT Sound;AutomÛveis e VeÌculos;Preto;d42
